Label,Characteristic,Year,Characteristic_code,total_fatal_injuries,total_hours_worked,fatal_injury_rate,margin_of_error
Ind,Construction,2018,23,"1,008","21,318",9.5,0.2
Ind,Manufacturing,2018,"31, 32, 33",343,"31,862",2.2,0
,Food manufacturing,2018,311000,41,"3,653",2.2,0.2
Occ,"Animal food, grain and oilseed milling ",2018,"3111, 3112",9,344,5.2,0.8
Occ,Animal slaughtering and processing ,2018,311600,11,"1,035",2.1,0.4
Occ,Wood product manufacturing,2018,321000,48,922,10.4,1.1
Occ,Chemical manufacturing,2018,325000,18,"2,944",1.2,0.1
Occ,Plastics and rubber products manufacturing,2018,326000,12,"1,070",2.2,0.2
,Nonmetallic mineral product manufacturing,2018,327000,30,985,6.1,0.5
Occ,"Cement, concrete, lime, and gypsum product manufacturing ",2018,"3273, 3274",19,381,10,1.5
Occ,Primary metal manufacturing,2018,331000,18,978,3.7,0.4
Occ,Fabricated metal product manufacturing,2018,332000,56,"2,520",4.4,0.3
Occ,Machinery manufacturing,2018,333000,38,"2,539",3,0.2
Occ,Transportation equipment manufacturing,2018,336000,33,"5,264",1.3,0.1
,Service providing,2018,"22, 42, 44, 45, 48, 49, 51, 52, 53, 54, 55, 56, 61, 62, 71, 72, 81, 99","2,724","193,633",2.8,0
,"Trade, transportation, and utilities",2018,"42, 44, 45, 48, 49, 22","1,379","51,283",5.3,0.1
Ind,Wholesale trade,2018,42,202,"7,528",5.3,0.2
,"Merchant wholesalers, durable goods",2018,423000,113,"3,474",6.4,0.3
Occ,"Machinery, equipment, and supplies merchant wholesalers     ",2018,423800,26,732,7.1,0.7
Occ,Recyclable material merchant wholesalers,2018,423930,13,219,11.9,2.9
,"Merchant wholesalers, nondurable goods",2018,424000,85,"3,740",4.5,0.2
Occ,Grocery and related products merchant wholesalers ,2018,424400,31,"1,834",3.4,0.3
Ind,Retail trade,2018,"44, 45",274,"29,184",1.9,0
,Motor vehicle and parts dealers,2018,441000,68,"4,166",3.2,0.1
Occ,Automobile dealers ,2018,441100,25,"2,856",1.8,0.1
Occ,"Automotive parts, accessories, and tire stores  ",2018,441300,31,964,6.4,0.5
Occ,Building material and garden equipment and supplies dealers,2018,444000,19,"2,795",1.4,0.1
,Food and beverage stores,2018,445000,42,"5,244",1.6,0.1
Occ,Grocery stores ,2018,445100,38,"4,637",1.6,0.1
Occ,Gasoline stations ,2018,447000,47,894,10.5,1
Occ,Miscellaneous store retailers,2018,453000,21,"1,947",2,0.1
Occ,Nonstore retailers,2018,454000,14,"1,441",1.9,0.1
Ind,Transportation and warehousing     ,2018,"48, 49",874,"12,376",14,0.4
Occ,Air transportation ,2018,481000,27,"1,125",3.9,0.3
Occ,Rail transportation ,2018,482000,15,441,6.8,0.9
Occ,Water transportation ,2018,483000,12,166,14.5,3.5
Occ,Truck transportation ,2018,484000,607,"4,296",28.3,1.4
